state,s_code,code,s_district,s_municipality
Schleswig-Holstein,01,,Schleswig-Holstein,Kiel
Schleswig-Holstein,01001,,"Flensburg, Stadt",Flensburg
Schleswig-Holstein,010010000000,01001000,"Flensburg, Stadt",Flensburg
Schleswig-Holstein,01002,,"Kiel, Landeshauptstadt",Kiel
Schleswig-Holstein,010020000000,01002000,"Kiel, Landeshauptstadt",Kiel
Schleswig-Holstein,01003,,"Lübeck, Hansestadt",Lübeck
Schleswig-Holstein,010030000000,01003000,"Lübeck, Hansestadt",Lübeck
Schleswig-Holstein,01004,,"Neumünster, Stadt",Neumünster
Schleswig-Holstein,010040000000,01004000,"Neumünster, Stadt",Neumünster
Schleswig-Holstein,01051,,Dithmarschen,Heide
Schleswig-Holstein,010510011011,01051011,"Brunsbüttel, Stadt",Brunsbüttel
Schleswig-Holstein,010510044044,01051044,"Heide, Stadt",Heide
Schleswig-Holstein,010515163,,Amt Burg-St. Michaelisdonn,Burg (Dith.)
Schleswig-Holstein,010515163003,01051003,Averlak,Burg (Dith.)
Schleswig-Holstein,010515163010,01051010,Brickeln,Burg (Dith.)
Schleswig-Holstein,010515163012,01051012,Buchholz,Burg (Dith.)
Schleswig-Holstein,010515163016,01051016,Burg (Dithmarschen),Burg (Dith.)
Schleswig-Holstein,010515163022,01051022,Dingen,Burg (Dith.)
Schleswig-Holstein,010515163024,01051024,Eddelak,Burg (Dith.)
Schleswig-Holstein,010515163026,01051026,Eggstedt,Burg (Dith.)
Schleswig-Holstein,010515163032,01051032,Frestedt,Burg (Dith.)
Schleswig-Holstein,010515163037,01051037,Großenrade,Burg (Dith.)
Schleswig-Holstein,010515163051,01051051,Hochdonn,Burg (Dith.)
Schleswig-Holstein,010515163064,01051064,Kuden,Burg (Dith.)
Schleswig-Holstein,010515163089,01051089,Quickborn,Burg (Dith.)
Schleswig-Holstein,010515163097,01051097,Sankt Michaelisdonn,Burg (Dith.)
Schleswig-Holstein,010515163110,01051110,Süderhastedt,Burg (Dith.)
Schleswig-Holstein,010515166,,Amt Marne-Nordsee,Marne
Schleswig-Holstein,010515166021,01051021,Diekhusen-Fahrstedt,Marne
Schleswig-Holstein,010515166034,01051034,Friedrichskoog,Marne
Schleswig-Holstein,010515166046,01051046,Helse,Marne
Schleswig-Holstein,010515166057,01051057,Kaiser-Wilhelm-Koog,Marne
Schleswig-Holstein,010515166062,01051062,Kronprinzenkoog,Marne
Schleswig-Holstein,010515166072,01051072,"Marne, Stadt",Marne
Schleswig-Holstein,010515166073,01051073,Marnerdeich,Marne
Schleswig-Holstein,010515166076,01051076,Neufeld,Marne
Schleswig-Holstein,010515166077,01051077,Neufelderkoog,Marne
Schleswig-Holstein,010515166090,01051090,Ramhusen,Marne
Schleswig-Holstein,010515166103,01051103,Schmedeswurth,Marne
Schleswig-Holstein,010515166118,01051118,Trennewurth,Marne
Schleswig-Holstein,010515166119,01051119,Volsemenhusen,Marne
Schleswig-Holstein,010515169,,Amt Kirchspielslandgemeinden Eider,Hennstedt
Schleswig-Holstein,010515169005,01051005,Barkenholm,Hennstedt
Schleswig-Holstein,010515169008,01051008,Bergewöhrden,Hennstedt
Schleswig-Holstein,010515169019,01051019,Dellstedt,Hennstedt
Schleswig-Holstein,010515169020,01051020,Delve,Hennstedt
Schleswig-Holstein,010515169023,01051023,Dörpling,Hennstedt
Schleswig-Holstein,010515169030,01051030,Fedderingen,Hennstedt
Schleswig-Holstein,010515169035,01051035,Gaushorn,Hennstedt
Schleswig-Holstein,010515169036,01051036,Glüsing,Hennstedt
Schleswig-Holstein,010515169038,01051038,Groven,Hennstedt
Schleswig-Holstein,010515169047,01051047,Hemme,Hennstedt
Schleswig-Holstein,010515169049,01051049,Hennstedt,Hennstedt
Schleswig-Holstein,010515169052,01051052,Hövede,Hennstedt
Schleswig-Holstein,010515169053,01051053,Hollingstedt,Hennstedt
Schleswig-Holstein,010515169058,01051058,Karolinenkoog,Hennstedt
Schleswig-Holstein,010515169060,01051060,Kleve,Hennstedt
Schleswig-Holstein,010515169061,01051061,Krempel,Hennstedt
Schleswig-Holstein,010515169065,01051065,Lehe,Hennstedt
Schleswig-Holstein,010515169068,01051068,Linden,Hennstedt
Schleswig-Holstein,010515169071,01051071,Lunden,Hennstedt
Schleswig-Holstein,010515169080,01051080,Norderheistedt,Hennstedt
Schleswig-Holstein,010515169088,01051088,Pahlen,Hennstedt
